# Energy (eV)	Intensity
720.900000	853611.000000
721.000000	858193.000000
721.100000	855993.000000
721.200000	855439.000000
721.300000	851260.000000
721.400000	846868.000000
721.500000	841543.000000
721.600000	836026.000000
721.700000	828935.000000
721.800000	825656.000000
721.900000	820574.000000
722.000000	814395.000000
722.100000	813499.000000
722.200000	812311.000000
722.300000	811446.000000
722.400000	810087.000000
722.500000	810617.000000
722.600000	812429.000000
722.700000	810357.000000
722.800000	807016.000000
722.900000	805848.000000
723.000000	803621.000000
723.100000	798950.000000
723.200000	790964.000000
723.300000	785721.000000
723.400000	777992.000000
723.500000	772813.000000
723.600000	759997.000000
723.700000	753295.000000
723.800000	748516.000000
723.900000	741864.000000
724.000000	733453.000000
724.100000	727602.000000
724.200000	719026.000000
724.300000	709500.000000
724.400000	704501.000000
724.500000	697349.000000
724.600000	690936.000000
724.700000	684923.000000
724.800000	679873.000000
724.900000	675431.000000
725.000000	669957.000000
725.100000	664549.000000
725.200000	661626.000000
725.300000	660953.000000
725.400000	653472.000000
725.500000	651377.000000
725.600000	648975.000000
725.700000	646380.000000
725.800000	644938.000000
725.900000	641302.000000
726.000000	638838.000000
726.100000	637780.000000
726.200000	635581.000000
726.300000	634072.000000
726.400000	633255.000000
726.500000	631711.000000
726.600000	628303.000000
726.700000	626465.000000
726.800000	626569.000000
726.900000	624140.000000
727.000000	623968.000000
727.100000	621768.000000
727.200000	620119.000000
727.300000	618641.000000
727.400000	615742.000000
727.500000	614760.000000
727.600000	616505.000000
727.700000	616885.000000
727.800000	618988.000000
727.900000	615633.000000
728.000000	617384.000000
728.100000	615172.000000
728.200000	613323.000000
728.300000	614355.000000
728.400000	612185.000000
728.500000	610194.000000
728.600000	611301.000000
728.700000	608417.000000
728.800000	609907.000000
728.900000	610563.000000
729.300000	608011.000000
729.600000	605862.000000
729.900000	603032.000000
730.200000	601218.000000
730.500000	600042.000000
730.800000	596014.000000
731.100000	597499.000000
731.400000	591949.000000
731.700000	592453.000000
732.000000	589535.000000
732.300000	588827.000000
732.600000	588250.000000
732.900000	586235.000000
733.200000	585937.000000
733.500000	583957.000000
733.800000	581107.000000
734.100000	582213.000000
734.400000	578869.000000
734.700000	577434.000000
735.000000	577652.000000
735.300000	576657.000000
735.600000	577741.000000
736.100000	575509.000000
736.600000	576092.000000
737.100000	574156.000000
737.600000	575202.000000
738.100000	575381.000000
738.600000	573659.000000
739.100000	574076.000000
739.600000	574338.000000
740.100000	572896.000000
740.600000	574758.000000
741.100000	572508.000000
741.600000	574086.000000
742.100000	572381.000000
742.600000	572132.000000
743.100000	571428.000000
743.600000	575283.000000
744.100000	571331.000000
744.600000	573711.000000
