# Energy (eV)	Intensity
711.300000	1518552.000000
711.400000	1520325.000000
711.500000	1523629.000000
711.600000	1520337.000000
711.700000	1520696.000000
711.800000	1518665.000000
711.900000	1514409.000000
712.000000	1509893.000000
712.100000	1507423.000000
712.200000	1514395.000000
712.300000	1510215.000000
712.400000	1510179.000000
712.500000	1507966.000000
712.600000	1505231.000000
712.700000	1509222.000000
712.800000	1507148.000000
712.900000	1504671.000000
713.000000	1505503.000000
713.100000	1504289.000000
713.200000	1501649.000000
713.300000	1503915.000000
713.400000	1496167.000000
713.500000	1496734.000000
713.600000	1499273.000000
713.700000	1489826.000000
713.800000	1498201.000000
713.900000	1494761.000000
714.500000	1484328.000000
715.000000	1481652.000000
715.500000	1474403.000000
716.000000	1475874.000000
716.500000	1469599.000000
717.000000	1466537.000000
717.500000	1458669.000000
718.000000	1460170.000000
718.100000	1452879.000000
718.200000	1456092.000000
718.300000	1456639.000000
718.400000	1452123.000000
718.500000	1451111.000000
718.600000	1447698.000000
718.700000	1448649.000000
718.800000	1443656.000000
718.900000	1438950.000000
719.000000	1441509.000000
719.100000	1439252.000000
719.200000	1442152.000000
719.300000	1446922.000000
719.400000	1447470.000000
719.500000	1443549.000000
719.600000	1449819.000000
719.700000	1442563.000000
719.800000	1445625.000000
719.900000	1443042.000000
720.000000	1440951.000000
720.100000	1440766.000000
720.200000	1439520.000000
720.300000	1437153.000000
720.400000	1437965.000000
720.500000	1438842.000000
720.600000	1439349.000000
720.700000	1439130.000000
720.800000	1440751.000000
720.900000	1436474.000000
721.000000	1434101.000000
721.100000	1426790.000000
721.200000	1431774.000000
721.300000	1432940.000000
721.400000	1431209.000000
721.500000	1431273.000000
721.600000	1428497.000000
721.700000	1428964.000000
721.800000	1430258.000000
721.900000	1427607.000000
722.000000	1422140.000000
722.100000	1421188.000000
722.200000	1421350.000000
722.300000	1421343.000000
722.400000	1424569.000000
722.500000	1420182.000000
722.600000	1421484.000000
722.700000	1415552.000000
722.800000	1420863.000000
722.900000	1418400.000000
723.000000	1417449.000000
723.100000	1419760.000000
723.200000	1416331.000000
723.300000	1415454.000000
723.400000	1414467.000000
723.500000	1414629.000000
723.600000	1411498.000000
723.700000	1408883.000000
723.800000	1409444.000000
723.900000	1411958.000000
724.000000	1407443.000000
724.100000	1406978.000000
724.200000	1402736.000000
724.300000	1400749.000000
724.400000	1407585.000000
724.500000	1403194.000000
724.600000	1401294.000000
724.700000	1395594.000000
724.800000	1401465.000000
724.900000	1395688.000000
725.000000	1397260.000000
725.100000	1391311.000000
725.200000	1397190.000000
725.300000	1395776.000000
725.400000	1398282.000000
725.500000	1396154.000000
725.600000	1389333.000000
725.700000	1393686.000000
725.800000	1391464.000000
725.900000	1391402.000000
726.000000	1388730.000000
726.100000	1389900.000000
726.200000	1388694.000000
726.300000	1390155.000000
726.400000	1385992.000000
726.500000	1387666.000000
726.600000	1386428.000000
726.700000	1380434.000000
726.800000	1379185.000000
726.900000	1377741.000000
727.000000	1377924.000000
727.100000	1374902.000000
727.200000	1375622.000000
727.300000	1371756.000000
727.400000	1369810.000000
727.500000	1369914.000000
727.600000	1370327.000000
727.700000	1375705.000000
727.800000	1382900.000000
727.900000	1373486.000000
728.000000	1375923.000000
728.100000	1375176.000000
728.200000	1372564.000000
728.300000	1375171.000000
728.400000	1369629.000000
728.500000	1364279.000000
728.600000	1364813.000000
728.700000	1363276.000000
728.800000	1363569.000000
728.900000	1362468.000000
729.300000	1365581.000000
729.600000	1358632.000000
729.900000	1350845.000000
730.200000	1352708.000000
730.500000	1349920.000000
730.800000	1346216.000000
731.100000	1350697.000000
731.400000	1344224.000000
731.700000	1340117.000000
732.000000	1334418.000000
732.300000	1329630.000000
732.600000	1324348.000000
732.900000	1330457.000000
733.200000	1325599.000000
733.500000	1319976.000000
733.800000	1315291.000000
734.100000	1315694.000000
734.400000	1311771.000000
734.700000	1305403.000000
735.000000	1306296.000000
735.300000	1302874.000000
735.600000	1300294.000000
736.100000	1294276.000000
736.600000	1289060.000000
737.100000	1287703.000000
737.600000	1286622.000000
738.100000	1282839.000000
738.600000	1276390.000000
739.100000	1273468.000000
739.600000	1273552.000000
740.100000	1268521.000000
740.600000	1268680.000000
741.100000	1261455.000000
741.600000	1261938.000000
742.100000	1258367.000000
742.600000	1248708.000000
743.100000	1243341.000000
743.600000	1246913.000000
744.100000	1241649.000000
744.600000	1237576.000000
