# Energy (eV)	Intensity
728.800000	50525555.000000
728.900000	50677377.000000
729.300000	50477896.000000
729.600000	50326894.000000
729.900000	50257263.000000
730.200000	50082350.000000
730.500000	50086409.000000
730.800000	49857889.000000
731.100000	49790362.000000
731.400000	49770971.000000
731.700000	49660196.000000
732.000000	49599716.000000
732.300000	49488485.000000
732.600000	49370719.000000
732.900000	49348354.000000
733.200000	49223276.000000
733.500000	48981436.000000
733.800000	48979302.000000
734.100000	48915303.000000
734.400000	48769568.000000
734.700000	48721491.000000
735.000000	48629595.000000
735.300000	48472158.000000
735.600000	48315346.000000
736.100000	48243010.000000
736.600000	48223274.000000
737.100000	48244495.000000
737.600000	48158996.000000
738.100000	48290883.000000
738.600000	48082951.000000
739.100000	47945536.000000
739.600000	47948736.000000
740.100000	47737062.000000
740.600000	47703746.000000
741.100000	47508856.000000
741.600000	47488541.000000
742.100000	47416390.000000
742.600000	47153671.000000
743.100000	47184882.000000
743.600000	47030191.000000
744.100000	46952865.000000
744.600000	46921620.000000
